property_url,property_title,property_location,property_size,property_room_type,property_price,estimated_monthly_rent,comparable_count
https://www.idealista.pt/en/imovel/33895242/,"T1 flat in Centro, Belém","Centro, Belém",40.0,T1,"280,000€290,000 €3%",1295.0,1
https://www.idealista.pt/en/imovel/33113830/,"T2 flat in rua Penha de França, Centro, Penha de França","rua Penha de França, Centro, Penha de França",82.0,T2,"285,000€",2291.6666666666665,3
https://www.idealista.pt/en/imovel/33882150/,"T1 flat in rua de São Bento, Príncipe Real - São Bento, Misericórdia","rua de São Bento, Príncipe Real - São Bento, Misericórdia",46.0,T1,"250,000€290,000 €14%",2133.3333333333335,3
https://www.idealista.pt/en/imovel/33425899/,"T2 flat in Pena, Arroios","Pena, Arroios",80.0,T2,"253,000€",5000.0,1
https://www.idealista.pt/en/imovel/33861608/,"T2 flat in travessa João Alves, Rio Seco - Casalinho, Ajuda","travessa João Alves, Rio Seco - Casalinho, Ajuda",59.0,T2,"290,000€",1650.0,1
https://www.idealista.pt/en/imovel/32973030/,"T2 flat in rua Engenheiro Paulo Barros, Bairro de Santa Cruz, Benfica","rua Engenheiro Paulo Barros, Bairro de Santa Cruz, Benfica",53.0,T2,"210,000€",1506.076923076923,13
https://www.idealista.pt/en/imovel/33746760/,"T2 flat in beco da Verónica, 3, São Vicente de Fora, São Vicente","beco da Verónica, 3, São Vicente de Fora, São Vicente",45.0,T2,"229,000€",1761.5,6
https://www.idealista.pt/en/imovel/33886997/,"T2 flat in Santa Catarina, Misericórdia","Santa Catarina, Misericórdia",57.0,T2,"288,000€",2412.285714285714,7
https://www.idealista.pt/en/imovel/33789599/,"T2 flat in Baixa, Santa Maria Maior","Baixa, Santa Maria Maior",72.0,T2,"299,000€",2917.5,30
https://www.idealista.pt/en/imovel/33059145/,"T2 flat in Prazeres - Maria Pia, Campo de Ourique","Prazeres - Maria Pia, Campo de Ourique",72.0,T2,"275,000€",2032.111111111111,9
