size,num_rooms,rent_price,location,url
150 m²,T1,"1,400€/month","rua do Sol a Santa Catarina, Santa Catarina, Misericórdia",https://www.idealista.pt/en/imovel/34086964/
149 m²,T1,"1,380€/month","rua de Gustavo de Matos Sequeira, Rato - Amoreiras, Santo António",https://www.idealista.pt/en/imovel/34086980/
145 m²,T1,"1,300€/month","rua Sol a Chelas, Bairro dos Actores - Barão Sabrosa, Penha de França",https://www.idealista.pt/en/imovel/34086978/
150 m²,T1,"1,300€/month","travessa das Inglesinhas, Santos-o-Velho - Madragoa, Estrela",https://www.idealista.pt/en/imovel/34086977/
160 m²,T1,"1,300€/month","largo dos Trigueiros, Mouraria - Castelo, Santa Maria Maior",https://www.idealista.pt/en/imovel/34086976/
264 m²,T2,"1,300€/month","praça João de Azevedo Coutinho, Alto de São João - Alto do Varejão, Penha de França",https://www.idealista.pt/en/imovel/34086975/
160 m²,T1,"1,295€/month","rua do Embaixador, Centro, Belém",https://www.idealista.pt/en/imovel/34086944/
142 m²,T1,"1,200€/month","rua Conde das Antas, Centro, Campolide",https://www.idealista.pt/en/imovel/34086961/
190 m²,T1,"1,200€/month","rua Luís Pastor de Macedo, Alto do Lumiar - Quinta das Conchas - Quinta do Lambert, Lumiar",https://www.idealista.pt/en/imovel/34086970/
262 m²,T2,"1,200€/month",,https://www.idealista.pt/en/imovel/34086938/
140 m²,T1,"1,200€/month",,https://www.idealista.pt/en/imovel/34086928/
165 m²,T1,"1,150€/month",,https://www.idealista.pt/en/imovel/34086941/
143 m²,T1,"1,150€/month","rua Martin Luther King, Santa Clara, Lisboa",https://www.idealista.pt/en/imovel/34086881/
245 m²,T2,"1,000€/month","rua Academia das Ciências, Príncipe Real - São Bento, Misericórdia",https://www.idealista.pt/en/imovel/34086911/
144 m²,T1,"1,000€/month","avenida Elias Garcia, Campo Pequeno, Avenidas Novas",https://www.idealista.pt/en/imovel/34086907/
143 m²,T1,990€/month,"rua Capitão Renato Baptista, Anjos, Arroios",https://www.idealista.pt/en/imovel/34086905/
145 m²,T1,900€/month,"travessa do Conde de Avintes, São Vicente de Fora, São Vicente",https://www.idealista.pt/en/imovel/34086872/
152 m²,T1,900€/month,"rua Dom Tomás de Melo Breyner, Beato, Lisboa",https://www.idealista.pt/en/imovel/34086871/
143 m²,T1,850€/month,"rua do Jardim à Estrela, Lapa, Estrela",https://www.idealista.pt/en/imovel/34086743/
143 m²,T1,700€/month,"travessa do Rosário de Santa Clara, São Vicente de Fora, São Vicente",https://www.idealista.pt/en/imovel/34086592/
2120 m²,T2,"2,750€/monthParking included","rua Professor Sousa da Câmara, Centro, Campolide",https://www.idealista.pt/en/imovel/34085971/
