size,num_rooms,rent_price,location,url
65 m²,T2,1500€/month,"rua Ferreira Chaves, Centro, Campolide",https://www.idealista.pt/en/imovel/33427357/
65 m²,T1,1500€/month,"rua do Olival, Lapa, Estrela",https://www.idealista.pt/en/imovel/33293443/
79 m²,T1,1500€/month,"avenida José Malhoa, Praça de Espanha - Sete Rios, Campolide",https://www.idealista.pt/en/imovel/33147158/
70 m²,T1,1450€/month,"rua Angelina Vidal, Graça, São Vicente",https://www.idealista.pt/en/imovel/32984298/
68 m²,T1,1350€/month,"praça Praça Duque de Saldanha, Saldanha - Picoas, São Jorge de Arroios, Arroios",https://www.idealista.pt/en/imovel/30555176/
90 m²,T2,1200€/month,"rua Francisco de Holanda, 20, Entrecampos, Avenidas Novas",https://www.idealista.pt/en/imovel/34063923/
120 m²,T2,1600€/month,"Quinta dos Alcoutins, Lumiar",https://www.idealista.pt/en/imovel/32825962/
66 m²,T2,1300€/month,"Estrada de Benfica, São Domingos de Benfica",https://www.idealista.pt/en/imovel/34063821/
125 m²,T2,2500€/month,"Campo Pequeno, Avenidas Novas",https://www.idealista.pt/en/imovel/34063659/
70 m²,T1,1190€/month,"rua da Palmeira, 15, Príncipe Real - São Bento, Misericórdia",https://www.idealista.pt/en/imovel/30635167/
44 m²,T1,1600€/month,"rua Conde das Antas, Centro, Campolide",https://www.idealista.pt/en/imovel/34063245/
40 m²,T1,1261€/month,"rua do Embaixador, Centro, Belém",https://www.idealista.pt/en/imovel/34063215/
46 m²,T1,850€/month,"rua de Alcântara, Largo do Calvário - Lx Factory, Alcântara",https://www.idealista.pt/en/imovel/34063242/
50 m²,T2,1500€/month,"Amoreiras, Campo de Ourique",https://www.idealista.pt/en/imovel/34063219/
50 m²,T1,1050€/month,,https://www.idealista.pt/en/imovel/33514953/
91 m²,T2,1450€/month,"estrada de Benfica, Estrada de Benfica, São Domingos de Benfica",https://www.idealista.pt/en/imovel/34063167/
60 m²,T1,1760€/month,"rua Domingos Sequeira, Lapa, Estrela",https://www.idealista.pt/en/imovel/33815390/
60 m²,T1,2000€/month,"rua das Praças, Lapa, Estrela",https://www.idealista.pt/en/imovel/33790731/
65 m²,T1,1550€/month,"rua General Taborda, Centro, Campolide",https://www.idealista.pt/en/imovel/33753089/
58 m²,T1,1200€/month,"Centro, Campo de Ourique",https://www.idealista.pt/en/imovel/34063087/
90 m²,T2,2000€/month,"rua Angelina Vidal, 12, Centro, Penha de França",https://www.idealista.pt/en/imovel/33057168/
103 m²,T2,2400€/month,"Rato - Amoreiras, Santo António",https://www.idealista.pt/en/imovel/34063068/
70 m²,T1,2750€/month,"avenida Duque de Ávila, Saldanha - Picoas, São Jorge de Arroios, Arroios",https://www.idealista.pt/en/imovel/32778833/
65 m²,T2,1600€/month,"rua do Arco a Alcântara, Doca de Alcântara, Estrela",https://www.idealista.pt/en/imovel/34063025/
80 m²,T1,2000€/month,"rua Dom Pedro V, 107, Príncipe Real - São Bento, Misericórdia",https://www.idealista.pt/en/imovel/34062926/
63 m²,T1,1250€/month,"Olaias, Areeiro",https://www.idealista.pt/en/imovel/34062914/
55 m²,T1,1000€/month,"avenida das Forças Armadas, 103, Entrecampos, Avenidas Novas",https://www.idealista.pt/en/imovel/32646199/
110 m²,T1,1950€/month,"rua do Beato, 44, Beato, Lisboa",https://www.idealista.pt/en/imovel/34062709/
75 m²,T2,2000€/month,"rua de São Ciro, Lapa, Estrela",https://www.idealista.pt/en/imovel/34062636/
70 m²,T2,2000€/month,"avenida António Augusto de Aguiar, 30, São Sebastião da Pedreira, Avenidas Novas",https://www.idealista.pt/en/imovel/33126805/
84 m²,T1,2700€/month,"Saldanha - Picoas, São Jorge de Arroios, Arroios",https://www.idealista.pt/en/imovel/32022489/
55 m²,T1,1000€/month,"rua General Pimenta de Castro, Alvalade, Alvalade",https://www.idealista.pt/en/imovel/33685376/
74 m²,T2,1600€/month,"praça São João Bosco, Prazeres, Estrela",https://www.idealista.pt/en/imovel/34062437/
58 m²,T1,1270€/month,"rua de Santo Amaro, 50, Largo do Rato - Estrela, Campo de Ourique",https://www.idealista.pt/en/imovel/34062488/
90 m²,T1,1700€/month,"travessa Paz, Lapa, Estrela",https://www.idealista.pt/en/imovel/34062351/
95 m²,T2,1300€/month,"Laranjeiras, São Domingos de Benfica",https://www.idealista.pt/en/imovel/34062370/
106 m²,T2,2750€/month,"rua da Misericórdia, Bairro Alto, Misericórdia",https://www.idealista.pt/en/imovel/34062337/
160 m²,T2,2500€/month,"rua Tomás Ribeiro, 93, São Sebastião da Pedreira, Avenidas Novas",https://www.idealista.pt/en/imovel/34061297/
80 m²,T1,1950€/month,"Chiado, Santa Maria Maior",https://www.idealista.pt/en/imovel/34062254/
80 m²,T2,1200€/month,"largo Paz, Calçada da Ajuda - Belém, Ajuda",https://www.idealista.pt/en/imovel/34061906/
160 m²,T2,2500€/month,"avenida António Augusto de Aguiar, Bairro Azul - Parque Eduardo VII, Avenidas Novas",https://www.idealista.pt/en/imovel/34061894/
80 m²,T2,1350€/month,"Centro, Campolide",https://www.idealista.pt/en/imovel/34061890/
120 m²,T2,2400€/month,"estrada da Luz, 96, Laranjeiras, São Domingos de Benfica",https://www.idealista.pt/en/imovel/34061788/
61 m²,T2,1650€/month,"rua Paulo Dias de Novais, Marvila, Lisboa",https://www.idealista.pt/en/imovel/34061796/
58 m²,T1,1550€/month,"rua Joaquim Rocha Cabral, 10, Campo Grande, Alvalade",https://www.idealista.pt/en/imovel/34061163/
60 m²,T1,1600€/month,"rua Paul Harris, 1, Campo Grande, Alvalade",https://www.idealista.pt/en/imovel/34061044/
88 m²,T2,1150€/month,"avenida Afonso III, 74, Alto de São João - Alto do Varejão, Penha de França",https://www.idealista.pt/en/imovel/34060834/
77 m²,T2,1300€/month,"bairro da Cáritas, Santa Clara, Lisboa",https://www.idealista.pt/en/imovel/34061728/
33 m²,T1,2500€/month,"rua Maurício de Vasconcelos, Quinta dos Alcoutins, Lumiar",https://www.idealista.pt/en/imovel/34061671/
67 m²,T1,1500€/month,"Chiado, Santa Maria Maior",https://www.idealista.pt/en/imovel/34061578/
58 m²,T2,1450€/month,"Anjos, Arroios",https://www.idealista.pt/en/imovel/34061558/
75 m²,T1,1300€/month,"largo do Mastro, 6, Pena, Arroios",https://www.idealista.pt/en/imovel/33427451/
58 m²,T2,1450€/month,"Rato - Amoreiras, Santo António",https://www.idealista.pt/en/imovel/34061574/
50 m²,T1,1500€/month,"rua Pedro Dias, Príncipe Real - São Bento, Misericórdia",https://www.idealista.pt/en/imovel/32328182/
66 m²,T1,1650€/month,"Estefânia, São Jorge de Arroios, Arroios",https://www.idealista.pt/en/imovel/34061463/
80 m²,T1,1900€/month,"travessa do Almada, Baixa, Santa Maria Maior",https://www.idealista.pt/en/imovel/34061348/
73 m²,T1,1300€/month,"Graça, São Vicente",https://www.idealista.pt/en/imovel/34061014/
68 m²,T1,1500€/month,"Campo Grande, Alvalade",https://www.idealista.pt/en/imovel/34060874/
120 m²,T2,2000€/month,"rua dos Anjos, 61, Anjos, Arroios",https://www.idealista.pt/en/imovel/34060262/
65 m²,T1,890€/month,"rua da Boavista, 130, Santa Catarina, Misericórdia",https://www.idealista.pt/en/imovel/34060482/
