size,num_rooms,rent_price,location,url
T2103 m²,T2,"2,400€/month","Rato - Amoreiras, Santo António",https://www.idealista.pt/en/imovel/34063068/
T170 m²,T1,"2,750€/month","avenida Duque de Ávila, Saldanha - Picoas, São Jorge de Arroios, Arroios",https://www.idealista.pt/en/imovel/32778833/
T265 m²,T2,"1,600€/month","rua do Arco a Alcântara, Doca de Alcântara, Estrela",https://www.idealista.pt/en/imovel/34063025/
T180 m²,T1,"2,000€/monthParking included","rua Dom Pedro V, 107, Príncipe Real - São Bento, Misericórdia",https://www.idealista.pt/en/imovel/34062926/
T163 m²,T1,"1,250€/monthParking included","Olaias, Areeiro",https://www.idealista.pt/en/imovel/34062914/
T155 m²,T1,"1,000€/month","avenida das Forças Armadas, 103, Entrecampos, Avenidas Novas",https://www.idealista.pt/en/imovel/32646199/
T1110 m²,T1,"1,950€/monthParking included","rua do Beato, 44, Beato, Lisboa",https://www.idealista.pt/en/imovel/34062709/
T275 m²,T2,"2,000€/month","rua de São Ciro, Lapa, Estrela",https://www.idealista.pt/en/imovel/34062636/
T270 m²,T2,"2,000€/month","avenida António Augusto de Aguiar, 30, São Sebastião da Pedreira, Avenidas Novas",https://www.idealista.pt/en/imovel/33126805/
T184 m²,T1,"2,700€/monthParking included","Saldanha - Picoas, São Jorge de Arroios, Arroios",https://www.idealista.pt/en/imovel/32022489/
T155 m²,T1,"1,000€/month","rua General Pimenta de Castro, Alvalade, Alvalade",https://www.idealista.pt/en/imovel/33685376/
T274 m²,T2,"1,600€/month","praça São João Bosco, Prazeres, Estrela",https://www.idealista.pt/en/imovel/34062437/
T158 m²,T1,"1,270€/month","rua de Santo Amaro, 50, Largo do Rato - Estrela, Campo de Ourique",https://www.idealista.pt/en/imovel/34062488/
T190 m²,T1,"1,700€/month","travessa Paz, Lapa, Estrela",https://www.idealista.pt/en/imovel/34062351/
T295 m²,T2,"1,300€/month","Laranjeiras, São Domingos de Benfica",https://www.idealista.pt/en/imovel/34062370/
T2106 m²,T2,"2,750€/monthParking included","rua da Misericórdia, Bairro Alto, Misericórdia",https://www.idealista.pt/en/imovel/34062337/
T2160 m²,T2,"2,500€/month","rua Tomás Ribeiro, 93, São Sebastião da Pedreira, Avenidas Novas",https://www.idealista.pt/en/imovel/34061297/
T180 m²,T1,"1,950€/monthParking included","Chiado, Santa Maria Maior",https://www.idealista.pt/en/imovel/34062254/
T280 m²,T2,"1,200€/month","largo Paz, Calçada da Ajuda - Belém, Ajuda",https://www.idealista.pt/en/imovel/34061906/
T2160 m²,T2,"2,500€/monthParking included","avenida António Augusto de Aguiar, Bairro Azul - Parque Eduardo VII, Avenidas Novas",https://www.idealista.pt/en/imovel/34061894/
T280 m²,T2,"1,350€/month","Centro, Campolide",https://www.idealista.pt/en/imovel/34061890/
T2120 m²,T2,"2,400€/monthParking included","estrada da Luz, 96, Laranjeiras, São Domingos de Benfica",https://www.idealista.pt/en/imovel/34061788/
T261 m²,T2,"1,650€/month","rua Paulo Dias de Novais, Marvila, Lisboa",https://www.idealista.pt/en/imovel/34061796/
T158 m²,T1,"1,550€/monthParking included","rua Joaquim Rocha Cabral, 10, Campo Grande, Alvalade",https://www.idealista.pt/en/imovel/34061163/
T160 m²,T1,"1,600€/monthParking included","rua Paul Harris, 1, Campo Grande, Alvalade",https://www.idealista.pt/en/imovel/34061044/
T288 m²,T2,"1,150€/month","avenida Afonso III, 74, Alto de São João - Alto do Varejão, Penha de França",https://www.idealista.pt/en/imovel/34060834/
T277 m²,T2,"1,300€/month","bairro da Cáritas, Santa Clara, Lisboa",https://www.idealista.pt/en/imovel/34061728/
T1133 m²,T1,"2,500€/monthParking included","rua Maurício de Vasconcelos, Quinta dos Alcoutins, Lumiar",https://www.idealista.pt/en/imovel/34061671/
T167 m²,T1,"1,500€/month","Chiado, Santa Maria Maior",https://www.idealista.pt/en/imovel/34061578/
T258 m²,T2,"1,450€/month","Anjos, Arroios",https://www.idealista.pt/en/imovel/34061558/
T175 m²,T1,"1,300€/month1,450 €10%","largo do Mastro, 6, Pena, Arroios",https://www.idealista.pt/en/imovel/33427451/
T258 m²,T2,"1,450€/month","Rato - Amoreiras, Santo António",https://www.idealista.pt/en/imovel/34061574/
T150 m²,T1,"1,500€/month1,600 €6%","rua Pedro Dias, Príncipe Real - São Bento, Misericórdia",https://www.idealista.pt/en/imovel/32328182/
T166 m²,T1,"1,650€/month","Estefânia, São Jorge de Arroios, Arroios",https://www.idealista.pt/en/imovel/34061463/
T180 m²,T1,"1,900€/month","travessa do Almada, Baixa, Santa Maria Maior",https://www.idealista.pt/en/imovel/34061348/
T173 m²,T1,"1,300€/month","Graça, São Vicente",https://www.idealista.pt/en/imovel/34061014/
T168 m²,T1,"1,500€/month","Campo Grande, Alvalade",https://www.idealista.pt/en/imovel/34060874/
T2120 m²,T2,"2,000€/month","rua dos Anjos, 61, Anjos, Arroios",https://www.idealista.pt/en/imovel/34060262/
T165 m²,T1,890€/month,"rua da Boavista, 130, Santa Catarina, Misericórdia",https://www.idealista.pt/en/imovel/34060482/
T2215 m²,T2,"7,000€/month","Lapa, Estrela",https://www.idealista.pt/en/imovel/34060274/
T2116 m²,T2,"3,800€/month","Lapa, Estrela",https://www.idealista.pt/en/imovel/34060273/
T158 m²,T1,"1,100€/monthParking included","Bairro dos Actores - Barão Sabrosa, Penha de França",https://www.idealista.pt/en/imovel/34059527/
T266 m²,T2,"1,400€/month","Alto de Alcântara, Alcântara",https://www.idealista.pt/en/imovel/34059458/
T250 m²,T2,"1,600€/month","rua da Hera, 12, Santa Catarina, Misericórdia",https://www.idealista.pt/en/imovel/34059202/
T290 m²,T2,"2,000€/month","travessa do Noronha, Nn, Príncipe Real, Santo António",https://www.idealista.pt/en/imovel/34059264/
T140 m²,T1,820€/month,,https://www.idealista.pt/en/imovel/31318559/
T150 m²,T1,"1,250€/month","rua Vale, 1, Príncipe Real - São Bento, Misericórdia",https://www.idealista.pt/en/imovel/31028571/
T158 m²,T1,"1,100€/month","rua Alfredo Roque Gameiro, 1, Entrecampos, Avenidas Novas",https://www.idealista.pt/en/imovel/34057501/
T140 m²,T1,900€/month,"rua Zófimo Pedroso, 47, Marvila, Lisboa",https://www.idealista.pt/en/imovel/34056559/
